IdGara,Numero,IdCampionato,Campionato,LivelloCampionato,GiornoSettimana,Data,Ora,IdCampoDiGioco,CampoDiGioco,IdSquadraA,SquadraA,IdSquadraB,SquadraB,RuoliDaDesignare,EsperienzaTotaleRichiesta
269549,7,29,A1M,1000,Sab,2021-09-25,20:00,420,"PALABARBUTO - NAPOLI (NAPOLI)",719,"S.S. NAPOLIBASKET S.S.D.R.L.",272,"PALL.OLIMPIA MILANO SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269513,3,29,A1M,1000,Dom,2021-09-26,17:00,377,"PALARUBINI - ALLIANZ DOME - TRIESTE (TRIESTE)",520,"PALLACANESTRO TRIESTE 2004 S.R.L.",632,"NEW BASKET BRINDISI S.P.A.","1° Arbitro,2° Arbitro,3° Arbitro",200
269540,6,29,A1M,1000,Dom,2021-09-26,17:15,370,"ENERXENIA ARENA - VARESE (VARESE)",571,"PALLACANESTRO VARESE SPA",350,"PALLACANESTRO BRESCIA S.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
269484,2,29,A1M,1000,Dom,2021-09-26,18:00,374,"PALASERRADIMIGNI - SASSARI (SASSARI)",648,"POL. DINAMO SRL",256,"US VICTORIA LIBERTAS PALL.SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
268517,5,29,A1M,1000,Dom,2021-09-26,18:15,161,"PALADOZZA - BOLOGNA (BOLOGNA)",615,"Fortitudo Pallacanestro Bologna 103 Srl",19,"PALL. REGGIANA SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269557,8,29,A1M,1000,Dom,2021-09-26,19:00,425,"PALAFERRARIS - CASALE MONFERRATO (ALESSANDRIA)",722,"A.S. DIL. POL. DERTHONA BASKET",527,"UNIVERSO TREVISO BASKET S.r.l","1° Arbitro,2° Arbitro,3° Arbitro",200
269442,1,29,A1M,1000,Dom,2021-09-26,20:00,379,"PALASPORT 'TALIERCIO' - VENEZIA (VENEZIA)",521,"SSP REYER VENEZIA MESTRE SRL",268,"GUERINO VANOLI BASKET SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269523,4,29,A1M,1000,Dom,2021-09-26,20:45,381,"BLM Group Arena - TRENTO (TRENTO)",267,"AQUILA BASKET TRENTO 2013 SRL",16,"VIRTUS PALL. BOLOGNA","1° Arbitro,2° Arbitro,3° Arbitro",200
269379,12,29,A1M,1000,Sab,2021-10-02,19:00,384,"PALAVERDE - VILLORBA (TREVISO)",527,"UNIVERSO TREVISO BASKET S.r.l",521,"SSP REYER VENEZIA MESTRE SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269370,11,29,A1M,1000,Sab,2021-10-02,20:00,380,"PALASPORT "PENTASSUGLIA" - BRINDISI (BRINDISI)",632,"NEW BASKET BRINDISI S.P.A.",648,"POL. DINAMO SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269387,13,29,A1M,1000,Dom,2021-10-03,17:00,382,"PALALEONESSA - BRESCIA (BRESCIA)",350,"PALLACANESTRO BRESCIA S.R.L.",722,"A.S. DIL. POL. DERTHONA BASKET","1° Arbitro,2° Arbitro,3° Arbitro",200
269360,10,29,A1M,1000,Dom,2021-10-03,17:30,375,"MEDIOLANUM FORUM - ASSAGO (MILANO)",272,"PALL.OLIMPIA MILANO SSRL",267,"AQUILA BASKET TRENTO 2013 SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
268569,9,29,A1M,1000,Dom,2021-10-03,18:30,161,"PALADOZZA - BOLOGNA (BOLOGNA)",16,"VIRTUS PALL. BOLOGNA",571,"PALLACANESTRO VARESE SPA","1° Arbitro,2° Arbitro,3° Arbitro",200
269397,14,29,A1M,1000,Dom,2021-10-03,19:30,376,"PALARADI - CREMONA (CREMONA)",268,"GUERINO VANOLI BASKET SRL",615,"Fortitudo Pallacanestro Bologna 103 Srl","1° Arbitro,2° Arbitro,3° Arbitro",200
267993,15,29,A1M,1000,Dom,2021-10-03,20:45,401,"UNIPOL ARENA - CASALECCHIO DI RENO (BOLOGNA)",19,"PALL. REGGIANA SRL",719,"S.S. NAPOLIBASKET S.S.D.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
269414,16,29,A1M,1000,Mer,2021-10-06,20:30,383,"VITRIFRIGO ARENA - PESARO (PESARO E URBINO)",256,"US VICTORIA LIBERTAS PALL.SSRL",520,"PALLACANESTRO TRIESTE 2004 S.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
269451,20,29,A1M,1000,Sab,2021-10-09,19:00,381,"BLM Group Arena - TRENTO (TRENTO)",267,"AQUILA BASKET TRENTO 2013 SRL",268,"GUERINO VANOLI BASKET SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269479,24,29,A1M,1000,Sab,2021-10-09,20:00,425,"PALAFERRARIS - CASALE MONFERRATO (ALESSANDRIA)",722,"A.S. DIL. POL. DERTHONA BASKET",632,"NEW BASKET BRINDISI S.P.A.","1° Arbitro,2° Arbitro,3° Arbitro",200
269469,22,29,A1M,1000,Dom,2021-10-10,17:00,370,"ENERXENIA ARENA - VARESE (VARESE)",571,"PALLACANESTRO VARESE SPA",272,"PALL.OLIMPIA MILANO SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269422,17,29,A1M,1000,Dom,2021-10-10,17:30,379,"PALASPORT 'TALIERCIO' - VENEZIA (VENEZIA)",521,"SSP REYER VENEZIA MESTRE SRL",16,"VIRTUS PALL. BOLOGNA","1° Arbitro,2° Arbitro,3° Arbitro",200
269432,18,29,A1M,1000,Dom,2021-10-10,18:00,374,"PALASERRADIMIGNI - SASSARI (SASSARI)",648,"POL. DINAMO SRL",19,"PALL. REGGIANA SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269477,23,29,A1M,1000,Dom,2021-10-10,18:30,420,"PALABARBUTO - NAPOLI (NAPOLI)",719,"S.S. NAPOLIBASKET S.S.D.R.L.",527,"UNIVERSO TREVISO BASKET S.r.l","1° Arbitro,2° Arbitro,3° Arbitro",200
269441,19,29,A1M,1000,Dom,2021-10-10,19:30,377,"PALARUBINI - ALLIANZ DOME - TRIESTE (TRIESTE)",520,"PALLACANESTRO TRIESTE 2004 S.R.L.",350,"PALLACANESTRO BRESCIA S.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
268127,21,29,A1M,1000,Dom,2021-10-10,20:45,161,"PALADOZZA - BOLOGNA (BOLOGNA)",615,"Fortitudo Pallacanestro Bologna 103 Srl",256,"US VICTORIA LIBERTAS PALL.SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269480,25,29,A1M,1000,Ven,2021-10-15,20:30,380,"PALASPORT "PENTASSUGLIA" - BRINDISI (BRINDISI)",632,"NEW BASKET BRINDISI S.P.A.",615,"Fortitudo Pallacanestro Bologna 103 Srl","1° Arbitro,2° Arbitro,3° Arbitro",200
268308,31,29,A1M,1000,Sab,2021-10-16,18:00,401,"UNIPOL ARENA - CASALECCHIO DI RENO (BOLOGNA)",19,"PALL. REGGIANA SRL",267,"AQUILA BASKET TRENTO 2013 SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
268236,26,29,A1M,1000,Sab,2021-10-16,20:00,161,"PALADOZZA - BOLOGNA (BOLOGNA)",16,"VIRTUS PALL. BOLOGNA",520,"PALLACANESTRO TRIESTE 2004 S.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
269482,28,29,A1M,1000,Dom,2021-10-17,12:00,384,"PALAVERDE - VILLORBA (TREVISO)",527,"UNIVERSO TREVISO BASKET S.r.l",648,"POL. DINAMO SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269506,32,29,A1M,1000,Dom,2021-10-17,16:30,383,"VITRIFRIGO ARENA - PESARO (PESARO E URBINO)",256,"US VICTORIA LIBERTAS PALL.SSRL",722,"A.S. DIL. POL. DERTHONA BASKET","1° Arbitro,2° Arbitro,3° Arbitro",200
269483,29,29,A1M,1000,Dom,2021-10-17,17:30,382,"PALALEONESSA - BRESCIA (BRESCIA)",350,"PALLACANESTRO BRESCIA S.R.L.",719,"S.S. NAPOLIBASKET S.S.D.R.L.","1° Arbitro,2° Arbitro,3° Arbitro",200
269490,30,29,A1M,1000,Dom,2021-10-17,19:30,376,"PALARADI - CREMONA (CREMONA)",268,"GUERINO VANOLI BASKET SRL",571,"PALLACANESTRO VARESE SPA","1° Arbitro,2° Arbitro,3° Arbitro",200
269481,27,29,A1M,1000,Dom,2021-10-17,20:45,375,"MEDIOLANUM FORUM - ASSAGO (MILANO)",272,"PALL.OLIMPIA MILANO SSRL",521,"SSP REYER VENEZIA MESTRE SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
268387,38,29,A1M,1000,Sab,2021-10-23,18:00,161,"PALADOZZA - BOLOGNA (BOLOGNA)",615,"Fortitudo Pallacanestro Bologna 103 Srl",272,"PALL.OLIMPIA MILANO SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269511,37,29,A1M,1000,Sab,2021-10-23,20:00,376,"PALARADI - CREMONA (CREMONA)",268,"GUERINO VANOLI BASKET SRL",632,"NEW BASKET BRINDISI S.P.A.","1° Arbitro,2° Arbitro,3° Arbitro",200
269507,33,29,A1M,1000,Sab,2021-10-23,20:30,379,"PALASPORT 'TALIERCIO' - VENEZIA (VENEZIA)",521,"SSP REYER VENEZIA MESTRE SRL",256,"US VICTORIA LIBERTAS PALL.SSRL","1° Arbitro,2° Arbitro,3° Arbitro",200
269514,40,29,A1M,1000,Dom,2021-10-24,12:00,420,"PALABARBUTO - NAPOLI (NAPOLI)",719,"S.S. NAPOLIBASKET S.S.D.R.L.",16,"VIRTUS PALL. BOLOGNA","1° Arbitro,2° Arbitro,3° Arbitro",200
269510,36,29,A1M,1000,Dom,2021-10-24,17:30,381,"BLM Group Arena - TRENTO (TRENTO)",267,"AQUILA BASKET TRENTO 2013 SRL",527,"UNIVERSO TREVISO BASKET S.r.l","1° Arbitro,2° Arbitro,3° Arbitro",200
269509,35,29,A1M,1000,Dom,2021-10-24,18:30,377,"PALARUBINI - ALLIANZ DOME - TRIESTE (TRIESTE)",520,"PALLACANESTRO TRIESTE 2004 S.R.L.",722,"A.S. DIL. POL. DERTHONA BASKET","1° Arbitro,2° Arbitro,3° Arbitro",200
269512,39,29,A1M,1000,Dom,2021-10-24,20:00,370,"ENERXENIA ARENA - VARESE (VARESE)",571,"PALLACANESTRO VARESE SPA",19,"PALL. REGGIANA SRL","1° Arbitro,2° Arbitro,3° Arbitro",200
