IdTesserato,IdGara,Ruolo
3312,269549,"1° Arbitro"
3346,269549,"3° Arbitro"
3292,269549,"2° Arbitro"
2640,269513,"1° Arbitro"
3289,269513,"2° Arbitro"
3362,269513,"3° Arbitro"
3296,269540,"1° Arbitro"
3305,269540,"2° Arbitro"
3307,269540,"3° Arbitro"
3282,269484,"1° Arbitro"
3308,269484,"3° Arbitro"
3303,269484,"2° Arbitro"
3369,268517,"3° Arbitro"
3297,268517,"2° Arbitro"
3301,268517,"1° Arbitro"
3290,269557,"2° Arbitro"
3314,269557,"3° Arbitro"
3311,269557,"1° Arbitro"
706,269442,"1° Arbitro"
3295,269442,"3° Arbitro"
587,269442,"2° Arbitro"
3288,269523,"2° Arbitro"
3293,269523,"3° Arbitro"
3300,269523,"1° Arbitro"
3305,269379,"2° Arbitro"
3291,269379,"3° Arbitro"
2640,269379,"1° Arbitro"
3283,269379,"1° Arbitro"
3299,269370,"1° Arbitro"
706,269370,"2° Arbitro"
3304,269370,"3° Arbitro"
3287,269387,"3° Arbitro"
3283,269387,"1° Arbitro"
3289,269387,"2° Arbitro"
587,269387,"2° Arbitro"
2640,269387,"1° Arbitro"
3303,269360,"2° Arbitro"
3290,269360,"3° Arbitro"
3281,269360,"1° Arbitro"
3297,268569,"2° Arbitro"
3316,268569,"3° Arbitro"
3282,268569,"1° Arbitro"
3280,269397,"1° Arbitro"
3310,269397,"2° Arbitro"
3314,269397,"3° Arbitro"
3311,267993,"1° Arbitro"
3293,267993,"3° Arbitro"
3308,267993,"2° Arbitro"
3300,269414,"1° Arbitro"
3286,269414,"2° Arbitro"
3307,269414,"3° Arbitro"
3311,269451,"1° Arbitro"
3289,269451,"2° Arbitro"
3287,269451,"3° Arbitro"
3296,269479,"1° Arbitro"
3300,269479,"2° Arbitro"
3292,269479,"3° Arbitro"
2640,269469,"1° Arbitro"
3280,269469,"2° Arbitro"
3295,269469,"3° Arbitro"
3301,269422,"1° Arbitro"
3310,269422,"2° Arbitro"
3308,269422,"3° Arbitro"
3312,269432,"1° Arbitro"
3286,269432,"2° Arbitro"
3291,269432,"3° Arbitro"
3299,269477,"1° Arbitro"
3303,269477,"2° Arbitro"
3304,269477,"3° Arbitro"
